Nx=12, Ny=96, Nz=96
dx=0.244949, dy=0.244949, dz=0.244949
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.034677 0.965323 17.8309 -10.0884
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.069651 0.930357 15.2717 -10.5491
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.156213 0.843809 8.44993 -12.1768
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.352474 0.647546 -3.95213 -12.8029
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.639318 0.360665 -12.9203 -4.56073
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.843389 0.15659 -12.7817 7.82195
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.933628 0.066366 -11.3952 14.6227
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.969561 0.030439 -11.2637 16.9102
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.984836 0.015166 -11.68 17.4103
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.991953 0.00805 -12.2187 17.2986
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.99545 0.004553 -12.7417 16.9854
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997132 0.00287 -13.1747 16.6533
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997795 0.002206 -13.4681 16.3996
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997824 0.002176 -13.6044 16.265
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.997328 0.00267 -13.588 16.2516
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.996297 0.0037 -13.4473 16.3303
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.994674 0.005321 -13.2154 16.4647
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
0.992372 0.007622 -12.9195 16.6221
