Nx=12, Ny=96, Nz=96
dx=0.244949, dy=0.244949, dz=0.244949
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.034975 0.965025 17.8112 -10.0904
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.070325 0.929679 15.2183 -10.5623
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.157792 0.842222 8.32994 -12.2027
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.355468 0.644546 -4.10004 -12.7721
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.642195 0.357792 -12.9554 -4.42358
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.844732 0.155251 -12.7611 7.9232
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.934101 0.065893 -11.3861 14.6603
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.969721 0.03028 -11.2622 16.9214
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.984888 0.015115 -11.6797 17.4138
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.991965 0.008038 -12.2178 17.3003
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.995449 0.004554 -12.7402 16.9868
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997128 0.002874 -13.1734 16.6543
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.997794 0.002207 -13.4681 16.3996
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.99783 0.002169 -13.6062 16.2636
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.997349 0.002649 -13.5924 16.2485
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.996341 0.003656 -13.4542 16.3261
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.994753 0.005244 -13.2249 16.46
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.9925 0.007496 -12.931 16.6185
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.989393 0.010602 -12.6021 16.7608
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.985176 0.01482 -12.2778 16.8318
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.979521 0.020477 -11.9924 16.7774
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.971988 0.028014 -11.7679 16.5495
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.961909 0.038098 -11.6217 16.0905
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.948325 0.051689 -11.5876 15.3091
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.92992 0.070102 -11.7164 14.0759
0.905006 0.095019 -12.0542 12.2439
0.905006 0.095019 -12.0542 12.2439
0.905006 0.095019 -12.0542 12.2439
0.905006 0.095019 -12.0542 12.2439
0.905006 0.095019 -12.0542 12.2439
0.905006 0.095019 -12.0542 12.2439
