Nx=12, Ny=96, Nz=96
dx=0.244949, dy=0.244949, dz=0.244949
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.042973 0.957032 17.2743 -10.1478
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.088607 0.911425 13.7764 -10.9077
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.200021 0.800058 5.24585 -12.7537
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.430417 0.569619 -7.42081 -11.5975
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.707365 0.292552 -13.4623 -1.02223
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.874658 0.125278 -12.3037 10.1751
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.945408 0.054575 -11.2609 15.4635
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.974136 0.025865 -11.328 17.1203
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.986763 0.013242 -11.7886 17.4173
0.992811 0.007194 -12.3276 17.2411
0.992811 0.007194 -12.3276 17.2411
0.992811 0.007194 -12.3276 17.2411
0.992811 0.007194 -12.3276 17.2411
0.992811 0.007194 -12.3276 17.2411
