Nx=12, Ny=96, Nz=96
dx=0.244949, dy=0.244949, dz=0.244949
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.070186 0.929812 15.2449 -10.5448
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.155189 0.844811 8.54177 -12.1485
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.346678 0.653325 -3.64851 -12.8503
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.629859 0.370137 -12.7884 -4.99906
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.836815 0.163177 -12.8677 7.34023
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.930277 0.069719 -11.4441 14.3722
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.967882 0.032117 -11.2556 16.8173
0.983935 0.016064 -11.6499 17.3862
0.983935 0.016064 -11.6499 17.3862
0.983935 0.016064 -11.6499 17.3862
0.983935 0.016064 -11.6499 17.3862
