Nx=12, Ny=96, Nz=96
dx=0.244949, dy=0.244949, dz=0.244949
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.024856 0.975144 18.448 -10.0602
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.046809 0.953194 17.0016 -10.189
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.100255 0.899758 12.8274 -11.1553
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.231688 0.768335 3.04441 -13.0501
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.487865 0.512136 -9.52383 -10.2462
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.754591 0.24539 -13.5254 1.75357
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.897417 0.102575 -11.9488 11.8976
0.955198 0.044801 -11.2001 16.1123
0.955198 0.044801 -11.2001 16.1123
