5 4.81515
7 4.81521
9 4.81539
4 4.81515
6 4.81516
1 4.81514
8 4.81528
2 4.81515
3 4.81515
35 4.80357
47 4.79915
17 4.81159
48 4.79891
45 4.79936
44 4.79955
46 4.79925
39 4.80148
36 4.80301
38 4.80198
34 4.80415
40 4.80099
43 4.79981
42 4.80013
30 4.80653
14 4.81662
15 4.81412
25 4.80876
19 4.81066
18 4.81104
37 4.80248
16 4.81252
49 4.79857
12 4.81762
13 4.81771
41 4.80053
31 4.80597
33 4.80476
32 4.80537
11 4.81625
24 4.80909
26 4.80838
10 4.81561
20 4.81033
29 4.80707
27 4.80799
21 4.81002
22 4.80972
23 4.80941
28 4.80755
